pair_id,bin_id,student_id
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010001167
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010059735
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010030237
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010048560
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010039326
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010055098
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010012955
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010013135
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010013275
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010013549
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_20_29,2010013622
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010015453
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010045717
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010017143
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010031711
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010034185
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010019918
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010020220
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010022612
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010010830
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010011311
501502_bpcx501601_mpc.1,501502_bpcx501601_mpc.1__marks_30_39,2010012843
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_10_19,2010047626
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_10_19,2010020401
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_10_19,2010009789
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_10_19,2010024109
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_10_19,2010026518
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_10_19,2010013397
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010000038
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010044124
501502_bpcx501602_bpc.1,501502_bpcx501602_bpc.1__marks_40_49,2010016109
